"BusinessType","SidebarItem","ItemId","Route","WidgetClass","FileName","Implemented","Connected","Functional"
"clinic","Overview","clinic_dashboard","/app/clinic_dashboard","DoctorDashboardScreen","doctor_dashboard_screen.dart","Yes","Yes","Yes"
"clinic","Today\","daily_appointments","/app/daily_appointments","AppointmentScreen","appointment_screen.dart","Yes","Yes","Yes"
"clinic","All Patients","patients_list","/app/patients_list","PatientListScreen","patient_list_screen.dart","Yes","Yes","Yes"
"clinic","Register Patient","add_patient","/app/add_patient","AddPatientScreen","add_patient_screen.dart","Yes","Yes","Yes"
"clinic","Patient History","patient_history","/app/patient_history","PatientListScreen","patient_list_screen.dart","Yes","Yes","Yes"
"clinic","Scan Patient QR","scan_qr","/app/scan_qr","QrScannerScreen","qr_scanner_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"clinic","Appointments","appointments","/app/appointments",,"N/A","No","No","No"
"clinic","Prescriptions","prescriptions","/app/prescriptions","SafePrescriptionListScreen","prescriptions_list_screen.dart","Yes","Yes","Yes"
"clinic","Medicine Master","medicine_master","/app/medicine_master","MedicineMasterScreen","medicine_master_screen.dart","Yes","Yes","Yes"
"clinic","Lab Reports","lab_reports","/app/lab_reports","LabReportsScreen","lab_reports_screen.dart","Yes","Yes","Yes"
"clinic","Revenue Analytics","doctor_revenue","/app/doctor_revenue","DoctorRevenueScreen","doctor_revenue_screen.dart","Yes","Yes","Yes"
"clinic","Create Bill","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"clinic","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"clinic","Sync Status","sync_status","/app/sync_status","BackupScreen","backup_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"clinic","Settings","device_settings","/app/device_settings","DeviceSettingsScreen","device_settings_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","Live Health","live_health","/app/live_health","LiveBusinessHealthScreen","live_business_health_screen.dart","Yes","Yes","Yes"
"pharmacy","Daily Snapshot","daily_snapshot","/app/daily_snapshot","DailySnapshotScreen","daily_snapshot_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"pharmacy","Prescriptions","prescriptions","/app/prescriptions","SafePrescriptionListScreen","prescriptions_list_screen.dart","Yes","Yes","Yes"
"pharmacy","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"pharmacy","Sales Register","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"pharmacy","Medicine Stock","item_stock","/app/item_stock","InventoryDashboardScreen","inventory_dashboard_screen.dart","Yes","Yes","Yes"
"pharmacy","Batch / Expiry View","batch_tracking","/app/batch_tracking","BatchTrackingScreen","batch_tracking_screen.dart","Yes","Yes","Yes"
"pharmacy","Low Stock / Expiry","low_stock","/app/low_stock","LowStockAlertsScreen","low_stock_alerts_screen.dart","Yes","Yes","Yes"
"pharmacy","Stock Valuation","stock_valuation","/app/stock_valuation","StockValuationScreen","stock_valuation_screen.dart","Yes","Yes","Yes"
"pharmacy","Purchase Orders","purchase_orders","/app/purchase_orders","BuyOrdersScreen","buy_orders_screen.dart","Yes","Yes","Yes"
"pharmacy","Stock Entry","stock_entry","/app/stock_entry","StockEntryScreen","stock_entry_screen.dart","Yes","Yes","Yes"
"pharmacy","Supplier Bills","supplier_bills","/app/supplier_bills","SupplierBillsScreen","supplier_bills_screen.dart","Yes","Yes","Yes"
"restaurant","Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"restaurant","Table Management","restaurant_tables","/app/restaurant_tables","TableManagementScreen","table_management_screen.dart","Yes","Yes","Yes"
"restaurant","Kitchen / KOT View","kitchen_display","/app/kitchen_display","KitchenDisplayScreen","kitchen_display_screen.dart","Yes","Yes","Yes"
"restaurant","Menu Management","menu_management","/app/menu_management","FoodMenuManagementScreen","food_menu_management_screen.dart","Yes","Yes","Yes"
"restaurant","Daily Summary","daily_summary","/app/daily_summary","RestaurantDailySummaryScreen","restaurant_daily_summary_screen.dart","Yes","Yes","Yes"
"restaurant","Quick Bill / Invoice","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"restaurant","Live Sales","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"restaurant","Sales History","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"restaurant","Stock Summary","stock_summary","/app/stock_summary","StockSummaryScreen","stock_summary_screen.dart","Yes","Yes","Yes"
"restaurant","Ingredients Stock","item_stock","/app/item_stock","InventoryDashboardScreen","inventory_dashboard_screen.dart","Yes","Yes","Yes"
"restaurant","Low Stock Alerts","low_stock","/app/low_stock","LowStockAlertsScreen","low_stock_alerts_screen.dart","Yes","Yes","Yes"
"petrolPump","Station Dashboard","petrol_dashboard","/app/petrol_dashboard","PetrolPumpManagementScreen","petrol_pump_management_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Shift Management","shift_management","/app/shift_management","ShiftHistoryScreen","shift_history_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Dispensers / Nozzles","dispenser_management","/app/dispenser_management","DispenserListScreen","dispenser_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Tank Levels","tank_management","/app/tank_management","TankListScreen","tank_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Create Invoice","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"petrolPump","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"petrolPump","Sales Register","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"petrolPump","Fuel Rates Config","fuel_rates","/app/fuel_rates","FuelRatesScreen","fuel_rates_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Profit Analysis","fuel_profit_report","/app/fuel_profit_report","FuelProfitReportScreen","fuel_profit_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Nozzle Sales","nozzle_sales_report","/app/nozzle_sales_report","NozzleSalesReportScreen","nozzle_sales_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Shift Reports","shift_report","/app/shift_report","ShiftReportScreen","shift_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Tank Stock","tank_stock_report","/app/tank_stock_report","TankStockReportScreen","tank_stock_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Executive Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Live Business Health","live_health","/app/live_health","LiveBusinessHealthScreen","live_business_health_screen.dart","Yes","Yes","Yes"
"retail","Alerts & Notifications","alerts","/app/alerts","AlertsNotificationsScreen","alerts_notifications_screen.dart","Yes","Yes","Yes"
"retail","Daily Snapshot","daily_snapshot","/app/daily_snapshot","DailySnapshotScreen","daily_snapshot_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"retail","Invoice / Bill Creation","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"retail","Receipt Entry","receipt_entry","/app/receipt_entry","ReceiptEntryScreen","receipt_entry_screen.dart","Yes","Yes","Yes"
"retail","Return Inwards","return_inwards","/app/return_inwards","ReturnInwardsScreen","return_inwards_screen.dart","Yes","Yes","Yes"
"retail","Proforma & Bids","proforma_bids","/app/proforma_bids","ProformaScreen","proforma_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Booking Orders","booking_orders","/app/booking_orders","BookingOrderScreen","booking_order_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Dispatch Notes","dispatch_notes","/app/dispatch_notes","DispatchNoteScreen","dispatch_note_screen.dart","Yes","Yes","Yes"
"retail","Sales Register","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"retail","BuyFlow Dashboard","buyflow_dashboard","/app/buyflow_dashboard","BuyFlowDashboard","buy_flow_dashboard.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Purchase Orders","purchase_orders","/app/purchase_orders","BuyOrdersScreen","buy_orders_screen.dart","Yes","Yes","Yes"
"retail","Stock Entry","stock_entry","/app/stock_entry","StockEntryScreen","stock_entry_screen.dart","Yes","Yes","Yes"
"retail","Stock Reversal","stock_reversal","/app/stock_reversal","StockReversalScreen","stock_reversal_screen.dart","Yes","Yes","Yes"
"retail","Procurement Log","procurement_log","/app/procurement_log","ProcurementLogScreen","procurement_log_screen.dart","Yes","Yes","Yes"
"retail","Supplier Bills","supplier_bills","/app/supplier_bills","SupplierBillsScreen","supplier_bills_screen.dart","Yes","Yes","Yes"
"retail","Purchase Register","purchase_register","/app/purchase_register","ProcurementLogScreen","procurement_log_screen.dart","Yes","Yes","Yes"
"retail","Stock Summary","stock_summary","/app/stock_summary","StockSummaryScreen","stock_summary_screen.dart","Yes","Yes","Yes"
"retail","Item-wise Stock","item_stock","/app/item_stock","InventoryDashboardScreen","inventory_dashboard_screen.dart","Yes","Yes","Yes"
"retail","Batch / Variant Tracking","batch_tracking","/app/batch_tracking","BatchTrackingScreen","batch_tracking_screen.dart","Yes","Yes","Yes"
"retail","Low Stock Alerts","low_stock","/app/low_stock","LowStockAlertsScreen","low_stock_alerts_screen.dart","Yes","Yes","Yes"
"retail","Stock Valuation","stock_valuation","/app/stock_valuation","StockValuationScreen","stock_valuation_screen.dart","Yes","Yes","Yes"
"retail","Damage / Adjustment","damage_logs","/app/damage_logs","DamageLogsScreen","damage_logs_screen.dart","Yes","Yes","Yes"
"retail","Customers","customers","/app/customers","CustomersListScreen","customers_list_screen.dart","Yes","Yes","Yes"
"retail","Suppliers","suppliers","/app/suppliers","PartyLedgerListScreen","party_ledger_list_screen.dart","Yes","Yes","Yes"
"retail","Party Ledger","party_ledger","/app/party_ledger","PartyLedgerListScreen","party_ledger_list_screen.dart","Yes","Yes","Yes"
"retail","Master Ledger History","ledger_history","/app/ledger_history","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Ledger Abstract","ledger_abstract","/app/ledger_abstract","TrialBalanceScreen","trial_balance_screen.dart","Yes","Yes","Yes"
"retail","Outstanding Reports","outstanding","/app/outstanding","PartyLedgerListScreen","party_ledger_list_screen.dart","Yes","Yes","Yes"
"retail","Analytics Hub","analytics_hub","/app/analytics_hub","ReportsHubScreen","reports_hub_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Turnover Analysis","turnover_analysis","/app/turnover_analysis","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Product Performance","product_performance","/app/product_performance","ProductPerformanceScreen","product_performance_screen.dart","Yes","Yes","Yes"
"retail","Daily Activity Register","daily_activity","/app/daily_activity","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Procurement Insights","procurement_insights","/app/procurement_insights","PurchaseReportScreen","purchase_report_screen.dart","Yes","Yes","Yes"
"retail","Margin Analysis","margin_analysis","/app/margin_analysis","BillWiseProfitScreen","bill_wise_profit_screen.dart","Yes","Yes","Yes"
"retail","AI Insights","insights","/app/insights","InsightsScreen","insights_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Share Catalogue","catalogue","/app/catalogue","CatalogueScreen","catalogue_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Invoice Margin View","invoice_margin","/app/invoice_margin","PnlScreen","pnl_screen.dart","Yes","Yes","Yes"
"retail","","income_statement","/app/income_statement","PnlScreen","pnl_screen.dart","Yes","Yes","Yes"
"retail","Funds Flow Analysis","funds_flow","/app/funds_flow","CashflowScreen","cashflow_screen.dart","Yes","Yes","Yes"
"retail","Financial Position","financial_position","/app/financial_position","BalanceScreen","balance_screen.dart","Yes","Yes","Yes"
"retail","Cash / Bank Summary","cash_bank","/app/cash_bank","CashflowScreen","cashflow_screen.dart","Yes","Yes","Yes"
"retail","Trial Balance / P&L","accounting_reports","/app/accounting_reports","AccountingReportsScreen","accounting_reports_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Bank Accounts","bank_accounts","/app/bank_accounts","BankScreen","bank_screen.dart","Yes","Yes","Yes"
"retail","Day Book","daybook","/app/daybook","DayBookScreen","day_book_screen.dart","Yes","Yes","Yes"
"retail","Credit Notes","credit_notes","/app/credit_notes","CreditNotesListScreen","credit_note_screen.dart","Yes","Yes","Yes"
"retail","Expenses","expenses","/app/expenses","ExpensesScreen","expenses_screen.dart","Yes","Yes","Yes"
"retail","GSTR-1 Reports","gstr1","/app/gstr1","GstReportsScreen","gst_reports_screen.dart","Yes","Yes","Yes"
"retail","B2B / B2C Summary","b2b_b2c","/app/b2b_b2c","GstReportsScreen","gst_reports_screen.dart","Yes","Yes","Yes"
"retail","HSN Reports","hsn_reports","/app/hsn_reports","GstReportsScreen","gst_reports_screen.dart","Yes","Yes","Yes"
"retail","Tax Liability","tax_liability","/app/tax_liability","GstReportsScreen","gst_reports_screen.dart","Yes","Yes","Yes"
"retail","Filing Readiness","filing_status","/app/filing_status","GstReportsScreen","gst_reports_screen.dart","Yes","Yes","Yes"
"retail","Transaction Reports","transaction_reports","/app/transaction_reports","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Master Activity Logs","activity_logs","/app/activity_logs","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Audit Trail","audit_trail","/app/audit_trail","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"retail","Error & Sync Logs","error_logs","/app/error_logs","ErrorLogsScreen","error_logs_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Print Settings","print_settings","/app/print_settings","PrintMenuScreen","print_menu_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Document Templates","doc_templates","/app/doc_templates","PrintMenuScreen","print_menu_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Backup & Restore","backup","/app/backup","BackupScreen","backup_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Sync Status","sync_status","/app/sync_status","BackupScreen","backup_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Device Settings","device_settings","/app/device_settings","DeviceSettingsScreen","device_settings_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"service","Overview","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"service","Daily Activity","daily_activity","/app/daily_activity","AllTransactionsScreen","all_transactions_screen.dart","Yes","Yes","Yes"
"service","Daily Snapshot","daily_snapshot","/app/daily_snapshot","DailySnapshotScreen","daily_snapshot_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"service","Create Invoice","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"service","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"service","Receipt Entry","receipt_entry","/app/receipt_entry","ReceiptEntryScreen","receipt_entry_screen.dart","Yes","Yes","Yes"
"service","Invoice History","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"service","Quotes / Estimates","proforma_bids","/app/proforma_bids","ProformaScreen","proforma_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"service","Service Jobs","service_jobs","/app/service_jobs","ServiceJobListScreen","service_job_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"service","Device Exchanges","exchanges","/app/exchanges","ExchangeListScreen","exchange_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
